,Count,Answer,Problem,Option,Rationale,Options,Correct Answer,Annotated Formula,Linear Formula,Category,extracted_answer
102,105,b,the wages earned by robin is 40 % more than that earned by erica . the wages earned by charles is 60 % more than that earned by erica . how much percent is the wages earned by charles more than that earned by robin ?,"a ) 14 % , b ) 23 % , c ) 30 % , d ) 50 % , e ) 100 %","""let wage of erica = 10 wage of robin = 1.4 * 10 = 14 wage of charles = 1.6 * 10 = 16 percentage by which wage earned by charles is more than that earned by robin = ( 16 - 14 ) / 14 * 100 % = 2 / 14 * 100 % = 14 % answer a""","a ) 14 % , b ) 23 % , c ) 30 % , d ) 50 % , e ) 100 %",a,"multiply(divide(subtract(add(const_100, 60), add(const_100, 40)), add(const_100, 40)), const_100)","add(n1,const_100)|add(n0,const_100)|subtract(#0,#1)|divide(#2,#1)|multiply(#3,const_100)|",general,b
103,106,d) 95,"25 is subtracted from 75.00001 % of a number , the result is 50 . find the number ?","a ) 150 , b ) 75 , c ) 125 , d ) 95 , e ) 100","""( 75 / 100 ) * x â € “ 25 = 50 7.5 x = 750 x = 100 answer : e""","a ) 150 , b ) 75 , c ) 125 , d ) 95 , e ) 100",e,"divide(add(25, 50), divide(75.00001, const_100))","add(n0,n2)|divide(n1,const_100)|divide(#0,#1)|",gain,d
104,107,a,"an association of mathematics teachers has 1,500 members . only 525 of these members cast votes in the election for president of the association . what percent of the total membership voted for the winning candidate if the winning candidate received 60 percent of the votes cast ?","a ) 75 % , b ) 58 % , c ) 42 % , d ) 34 % , e ) 21 %","""total umber of members = 1500 number of members that cast votes = 525 since , winning candidate received 60 percent of the votes cast number of votes for winning candidate = ( 60 / 100 ) * 525 = 315 percent of total membership that voted for winning candidate = ( 315 / 1500 ) * 100 = 21 % answer e""","a ) 75 % , b ) 58 % , c ) 42 % , d ) 34 % , e ) 21 %",e,"multiply(divide(multiply(divide(60, const_100), 525), multiply(const_100, power(const_4, const_2))), const_100)","divide(n2,const_100)|power(const_4,const_2)|multiply(n1,#0)|multiply(#1,const_100)|divide(#2,#3)|multiply(#4,const_100)|",gain,a
105,108,10,half a number plus 7 is 11 . what is the number ?,"a ) 8 , b ) 9 , c ) 10 , d ) 11 , e ) 12","""let x be the number . always replace ` ` is ' ' with an equal sign ( 1 / 2 ) x + 7 = 11 ( 1 / 2 ) x = 11 - 7 ( 1 / 2 ) x = 4 x = 8 correct answer is a""","a ) 8 , b ) 9 , c ) 10 , d ) 11 , e ) 12",a,"multiply(subtract(11, 7), const_2)","subtract(n1,n0)|multiply(#0,const_2)|",general,none
106,109,The answer is b.,"if 5 % more is gained by selling an article for rs . 1000 than by selling it for rs . 20 , the cost of the article is ?","a ) 127 , b ) 1600 , c ) 1200 , d ) 1680 , e ) 1800","""let c . p . be rs . x . then , 5 % of x = 1000 - 20 = 80 x / 20 = 80 = > x = 1600 answer : b""","a ) 127 , b ) 1600 , c ) 1200 , d ) 1680 , e ) 1800",b,"divide(subtract(1000, 20), divide(5, const_100))","divide(n0,const_100)|subtract(n1,n2)|divide(#1,#0)|",gain,none
107,110,d) 3.5,"of the total amount that jill spent on a shopping trip , excluding taxes , she spent 25 percent on clothing , 25 percent on food , and 50 percent on other items . if jill paid a 10 percent tax on the clothing , no tax on the food , and an 2 percent tax on all other items , then the total tax that she paid was what percent of the total amount that she spent , excluding taxes ?","a ) 3 , b ) 4.5 , c ) 4 , d ) 3.5 , e ) 5","""assume she has $ 200 to spend . tax clothing = 25 % = $ 50 = $ 5 food = 25 % = $ 50 = $ 0.00 items = 50 % = $ 100 = $ 2.00 total tax = $ 20.00 % of total amount = 7 / 200 * 100 = 3.5 % answer d""","a ) 3 , b ) 4.5 , c ) 4 , d ) 3.5 , e ) 5",d,"multiply(divide(add(multiply(25, divide(10, const_100)), multiply(50, divide(2, const_100))), const_100), const_100)","divide(n3,const_100)|divide(n4,const_100)|multiply(n0,#0)|multiply(n2,#1)|add(#2,#3)|divide(#4,const_100)|multiply(#5,const_100)|",general,d
108,111,b,"in a certain pond , 55 fish were caught , tagged , and returned to the pond . a few days later , 55 fish were caught again , of which 2 were found to have been tagged . if the percent of tagged fish in the second catch approximates the percent of tagged fish in the pond , what ` s the approximate number of fish in the pond ?","a ) 400 , b ) 625 , c ) 1250 , d ) 1528 , e ) 10 000","""the percent of tagged fish in the second catch is 2 / 55 * 100 = 3.64 % . we are told that 3.64 % approximates the percent of tagged fish in the pond . since there are 55 tagged fish , then we have 0.036 x = 55 - - > x = 1,528 . answer : d .""","a ) 400 , b ) 625 , c ) 1250 , d ) 1528 , e ) 10 000",d,"divide(55, divide(2, 55))","divide(n2,n1)|divide(n0,#0)|",gain,b
109,112,d,how many 1 / 6 s are there in 37 1 / 2 ?,"a ) 225 , b ) 425 , c ) 520 , d ) 600 , e ) 700",required number = ( 75 / 2 ) / ( 1 / 6 ) = ( 75 / 2 x 6 / 1 ) = 225 . answer : a,"a ) 225 , b ) 425 , c ) 520 , d ) 600 , e ) 700",a,"divide(add(37, divide(1, 2)), divide(1, 6))","divide(n0,n4)|divide(n0,n1)|add(n2,#0)|divide(#2,#1)",general,d
110,113,"To find the smallest positive perfect square divisible by 4, 9, and 18, we need to determine the least common multiple (LCM) of these numbers and then find the smallest perfect square that is a multiple of that LCM.

The prime factorization of the given numbers:
- 4 = 2^2
- 9 = 3^2
- 18 = 2 * 3^2

The LCM is obtained by taking the highest power of each prime factor present in the numbers:
- LCM = 2^2 * 3^2 = 4 * 9 = 36

Now, we need to find the smallest perfect square that is a multiple of 36. The smallest perfect square that meets this condition is 36 itself since it's a perfect square and already a multiple of 36.

So, the smallest positive perfect square divisible by 4, 9, and 18 is 36.

Answer: a) 36.","what is the smallest positive perfect square that is divisible by 4 , 9 , and 18 ?","a ) 36 , b ) 81 , c ) 144 , d ) 625 , e ) 900","""the number needs to be divisible by 2 ^ 2 , 3 ^ 2 , and 2 * 3 ^ 2 . the smallest such perfect square is 2 ^ 2 * 3 ^ 2 = 36 the answer is a .""","a ) 36 , b ) 81 , c ) 144 , d ) 625 , e ) 900",a,"add(multiply(multiply(multiply(4, power(const_3, const_2)), 9), const_2), multiply(9, 18))","multiply(n1,n2)|power(const_3,const_2)|multiply(n0,#1)|multiply(n1,#2)|multiply(#3,const_2)|add(#4,#0)|",geometry,a
111,114,d,the ratio between the present ages of a and b is 7 : 3 respectively . the ratio between a ' s age 4 years ago and b ' s age 4 years hence is 1 : 1 . what is the ratio between a ' s age 4 years hence and b ' s age 4 years ago ?,"a ) 3 : 4 , b ) 3 : 0 , c ) 9 : 1 , d ) 9 : 2 , e ) 3 : 9","""let the present ages of a and b be 7 x and 3 x years respectively . then , ( 7 x - 4 ) / ( 3 x + 4 ) = 1 / 1 4 x = 8 = > x = 2 required ratio = ( 5 x + 4 ) : ( 3 x - 4 ) = 18 : 2 = 9 : 1 . answer : c""","a ) 3 : 4 , b ) 3 : 0 , c ) 9 : 1 , d ) 9 : 2 , e ) 3 : 9",c,"divide(add(multiply(7, divide(add(7, 7), subtract(7, 3))), 7), subtract(multiply(3, divide(add(7, 7), subtract(7, 3))), 7))","add(n0,n0)|subtract(n0,n1)|divide(#0,#1)|multiply(n0,#2)|multiply(n1,#2)|add(n0,#3)|subtract(#4,n0)|divide(#5,#6)|",other,d
112,115,b,two vessels contains equal number of mixtures milk and water in the ratio 3 : 2 and 4 : 1 . both the mixtures are now mixed thoroughly . find the ratio of milk to water in the new mixture so obtained ?,"a ) 1 : 3 , b ) 9 : 13 , c ) 5 : 11 , d ) 7 : 3 , e ) 15 : 4","""the ratio of milk and water in the new vessel is = ( 3 / 5 + 4 / 5 ) : ( 2 / 5 + 1 / 5 ) = 7 / 5 : 3 / 5 = 7 : 3 answer is d""","a ) 1 : 3 , b ) 9 : 13 , c ) 5 : 11 , d ) 7 : 3 , e ) 15 : 4",d,"divide(add(multiply(3, divide(add(4, 1), add(3, 2))), 4), add(multiply(2, divide(add(4, 1), add(3, 2))), 1))","add(n2,n3)|add(n0,n1)|divide(#0,#1)|multiply(n0,#2)|multiply(n1,#2)|add(n2,#3)|add(n3,#4)|divide(#5,#6)|",other,b
113,116,d,"from a pack of 52 cards , 1 card is drawn at random . what is the probability that a red king is drawn ?","a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 13 , d ) 1 / 26 , e ) 1 / 52","""the total number of cards is 52 . the number of red kings is 2 . p ( red king ) = 2 / 52 = 1 / 26 the answer is d .""","a ) 1 / 2 , b ) 1 / 4 , c ) 1 / 13 , d ) 1 / 26 , e ) 1 / 52",d,"divide(multiply(const_4, const_3), 52)","multiply(const_3,const_4)|divide(#0,n0)|",probability,d
114,117,a) rs. 400,"if sharon ' s weekly salary increased by 15 percent , she would earn $ 460 per week . if instead , her weekly salary were to increase by 10 percent , how much would she earn per week ?","a ) rs . 400 , b ) rs . 440 , c ) rs . 150 , d ) rs . 460 , e ) rs . 520",soln : - 460 / 115 ) 110 = 385 in this case long division does not take much time . ( 4 / 1 ) 110 = rs . 440 answer : b,"a ) rs . 400 , b ) rs . 440 , c ) rs . 150 , d ) rs . 460 , e ) rs . 520",b,"add(divide(460, add(const_1, divide(15, const_100))), multiply(divide(10, const_100), divide(460, add(const_1, divide(15, const_100)))))","divide(n0,const_100)|divide(n2,const_100)|add(#0,const_1)|divide(n1,#2)|multiply(#1,#3)|add(#3,#4)",general,a
115,118,b) 700,a fruit seller had some oranges . he sells 10 % oranges and still has 360 oranges . how many oranges he had originally ?,"a ) 420 , b ) 700 , c ) 220 , d ) 400 , e ) none of these","""explanation : he sells 10 % of oranges and still there are 360 oranges remaining = > 90 % of oranges = 360 ⇒ ( 90 × total oranges ) / 100 = 360 ⇒ total oranges / 100 = 4 ⇒ total oranges = 4 × 100 = 400 answer : option d""","a ) 420 , b ) 700 , c ) 220 , d ) 400 , e ) none of these",d,"add(360, multiply(360, divide(10, const_100)))","divide(n0,const_100)|multiply(n1,#0)|add(n1,#1)|",gain,b
116,120,d,"it is the new year and mandy has made a resolution to lose weight this year . she plans to exercise and do yoga . for exercise she plans to workout at the gym and ride her bicycle in the ratio of 2 : 3 everyday . she will also do yoga in the ratio , yoga : exercise = 2 : 3 . if she rides her bike for 10 minutes , how much time will she spend doing yoga ? ( rounded to minutes )","a ) 10 min . , b ) 41 min . , c ) 17 min . , d ) 23 min . , e ) 25 min .","""the ratio is 2 : 3 = gym : ride , so ( 10 ) ( 3 / 2 ) = 15 minutes at the gym , and 15 + 10 = 25 minutes exercise , so ( 2 / 3 ) ( 25 ) = 17 minutes yoga . answer : c""","a ) 10 min . , b ) 41 min . , c ) 17 min . , d ) 23 min . , e ) 25 min .",c,"divide(multiply(10, divide(3, add(2, 3))), multiply(divide(3, add(2, 3)), divide(3, add(2, 3))))","add(n0,n1)|divide(n1,#0)|multiply(n4,#1)|multiply(#1,#1)|divide(#2,#3)|",physics,d
117,121,c) 195 m,"the length of the bridge , which a train 180 metres long and travelling at 45 km / hr can cross in 30 seconds , is ?","a ) 876 m , b ) 157 m , c ) 195 m , d ) 156 m , e ) 167 m","""speed = [ 45 x 5 / 18 ] m / sec = [ 25 / 2 ] m / sec time = 30 sec let the length of bridge be x metres . then , ( 180 + x ) / 30 = 25 / 2 = > 2 ( 180 + x ) = 750 = > x = 195 m . answer : c""","a ) 876 m , b ) 157 m , c ) 195 m , d ) 156 m , e ) 167 m",c,"subtract(multiply(divide(multiply(45, speed(const_1000, const_1)), speed(const_3600, const_1)), 30), 180)","speed(const_1000,const_1)|speed(const_3600,const_1)|multiply(n1,#0)|divide(#2,#1)|multiply(n2,#3)|subtract(#4,n0)|",physics,c
118,122,9,the difference of 2 digit number & the number obtained by interchanging the digits is 36 . what is the difference the sum and the number if the ratio between the digits of the number is 1 : 2 ?,"a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 12","let the number be xy . given xy – yx = 36 . this means the number is greater is than the number got on reversing the digits . this shows that the ten ’ s digit x > unit digit y . also given ratio between digits is 1 : 2 = > x = 2 y ( 10 x + y ) – ( 10 y + x ) = 36 = > x – y = 4 = > 2 y – y = 4 . hence , ( x + y ) – ( x – y ) = 3 y – y = 2 y = 8 b","a ) 7 , b ) 8 , c ) 9 , d ) 10 , e ) 12",b,"multiply(divide(36, subtract(multiply(subtract(const_10, const_1), multiply(2, const_1)), subtract(const_10, const_1))), const_2)","multiply(n0,const_1)|subtract(const_10,const_1)|multiply(#0,#1)|subtract(#2,#1)|divide(n1,#3)|multiply(#4,const_2)",general,none
119,123,a,"at the faculty of aerospace engineering , 312 students study random - processing methods , 232 students study scramjet rocket engines and 112 students study them both . if every student in the faculty has to study one of the two subjects , how many students are there in the faculty of aerospace engineering ?","a ) 424 . , b ) 428 . , c ) 430 . , d ) 432 . , e ) 436","""students studying random - processing methods = 312 students studying scramjet rocket engines = 232 students studying them both = 112 therefore ; students studying only random processing methods = 312 - 112 = 200 students studying only scramjet rocket engines = 232 - 112 = 120 students studying both = 112 students studying none = 0 ( as mentioned in question that every student in the faculty has to study one of the two subjects ) total students in faculty of aerospace engineering = students of only random processing methods + students of only scramjet rocket engines + both + none total number of students = 200 + 120 + 112 + 0 = 432 . . . . answer d""","a ) 424 . , b ) 428 . , c ) 430 . , d ) 432 . , e ) 436",d,"add(subtract(312, divide(112, const_2)), subtract(232, divide(112, const_2)))","divide(n2,const_2)|subtract(n0,#0)|subtract(n1,#0)|add(#1,#2)|",other,a
120,125,d,"in a company of 11 employees , 5 employees earn $ 32,000 , 4 employees earn $ 45,000 , and the 2 highest - paid employees earn the same amount . if the average annual salary for the 11 employees is $ 48,000 , what is the annual salary for each of the highest - paid employees ?","a ) $ 90,000 , b ) $ 94,000 , c ) $ 98,000 , d ) $ 102,000 , e ) $ 106,000","""5 * 32,000 + 4 * 45,000 + 2 x = 11 * 48,000 2 x = 528,000 - 160,000 - 180,000 2 x = 188,000 x = 94,000 the answer is b .""","a ) $ 90,000 , b ) $ 94,000 , c ) $ 98,000 , d ) $ 102,000 , e ) $ 106,000",b,"subtract(divide(multiply(divide(subtract(subtract(multiply(add(add(multiply(multiply(2, 2), add(4, const_1)), const_2), divide(const_1, const_2)), 11), multiply(multiply(11, 2), add(4, const_1))), multiply(multiply(multiply(2, 2), add(4, const_1)), 4)), 2), const_1000), const_1000), 5)","add(const_1,n3)|divide(const_1,const_2)|multiply(n5,n5)|multiply(n0,n5)|multiply(#0,#2)|multiply(#0,#3)|add(#4,const_2)|multiply(n3,#4)|add(#6,#1)|multiply(n0,#8)|subtract(#9,#5)|subtract(#10,#7)|divide(#11,n5)|multiply(#12,const_1000)|divide(#13,const_1000)|subtract(#14,n1)|",general,d
121,126,c) 20,"if n = 2 ^ 0.20 and n ^ b = 16 , b must equal","a ) 3 / 80 , b ) 3 / 5 , c ) 20 , d ) 5 / 3 , e ) 80 / 3","""20 / 100 = 1 / 5 n = 2 ^ 1 / 5 n ^ b = 2 ^ 4 ( 2 ^ 1 / 5 ) ^ b = 2 ^ 4 b = 20 answer : c""","a ) 3 / 80 , b ) 3 / 5 , c ) 20 , d ) 5 / 3 , e ) 80 / 3",c,"divide(log(16), log(power(2, 0.20)))","log(n2)|power(n0,n1)|log(#1)|divide(#0,#2)|",general,c
122,127,a,a man buys an item at rs . 800 and sells it at the loss of 20 percent . then what is the selling price of that item,"a ) rs . 640 , b ) rs . 760 , c ) rs . 860 , d ) rs . 960 , e ) none of these","""explanation : here always remember , when ever x % loss , it means s . p . = ( 100 - x ) % of c . p when ever x % profit , it means s . p . = ( 100 + x ) % of c . p so here will be ( 100 - x ) % of c . p . = 80 % of 800 = 80 / 100 * 800 = 640 option a""","a ) rs . 640 , b ) rs . 760 , c ) rs . 860 , d ) rs . 960 , e ) none of these",a,"multiply(800, subtract(const_1, divide(20, const_100)))","divide(n1,const_100)|subtract(const_1,#0)|multiply(n0,#1)|",gain,a
123,128,a) 1386,find the expenditure on digging a well 14 m deep and of 3 m diameter at rs . 14 per cubic meter ?,"a ) 1386 , b ) 2799 , c ) 2890 , d ) 1485 , e ) 2780","""22 / 7 * 14 * 3 / 2 * 3 / 2 = 99 m 2 99 * 14 = 1386 answer : a""","a ) 1386 , b ) 2799 , c ) 2890 , d ) 1485 , e ) 2780",a,"multiply(volume_cylinder(divide(3, const_2), 14), 14)","divide(n1,const_2)|volume_cylinder(#0,n0)|multiply(n2,#1)|",physics,a
124,130,"To find the two-digit number, let's denote it as \(10a + b\), where \(a\) is the tens digit and \(b\) is the units digit.

We are given two conditions:
1. The sum of the digits is 13: \(a + b = 13\).
2. The difference between the digits is 5: \(|a - b| = 5\).

Now, let's solve these equations step by step.

First, we can express \(b\) in terms of \(a\) using the first equation:
\[ b = 13 - a \]

Next, substitute \(b\) into the second equation:
\[ |a - (13 - a)| = 5 \]
\[ |2a - 13| = 5 \]

This absolute value equation gives us two possible cases:
\[ 2a - 13 = 5 \quad \text{or} \quad 2a - 13 = -5 \]

Solving each case separately:

Case 1: \(2a - 13 = 5\)
\[ 2a = 18 \]
\[ a = 9 \]
Then, substituting \(a = 9\) into \(b = 13 - a\):
\[ b = 13 - 9 = 4 \]
So, the number is \(94\).

Case 2: \(2a - 13 = -5\)
\[ 2a = 8 \]
\[ a = 4 \]
Then, substituting \(a = 4\) into \(b = 13 - a\):
\[ b = 13 - 4 = 9 \]
So, the number is \(49\).

Both 94 and 49 satisfy the given conditions. Therefore, the correct answers are \(a\) (85), \(b\) (94), and \(c\) (83).","the sum of digits of a two digit number is 13 , the difference between the digits is 5 . find the number","a ) 85 , b ) 94 , c ) 83 , d ) 72 , e ) none","""description : = > x + y = 13 , x - y = 5 adding these 2 x = 18 = > x = 9 , y = 4 . thus the number is 94 answer b""","a ) 85 , b ) 94 , c ) 83 , d ) 72 , e ) none",b,"add(multiply(divide(add(13, 5), const_2), 13), subtract(13, divide(add(13, 5), const_2)))","add(n0,n1)|divide(#0,const_2)|multiply(n0,#1)|subtract(n0,#1)|add(#2,#3)|",general,a
